artist_name,album_name,album_id,track_name,track_id,popularity,release_date,duration_ms,explicit,external_urls,is_local,preview_url,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Brandi Carlile,In These Silent Days (Deluxe Edition) In The Canyon Haze,2FOAtTMAfplWnTKf7rl12Q,You and Me On The Rock (In The Canyon Haze),1ydzL5SIoSRCpEIYWhsWE5,45,2022-09-28,257853,False,https://open.spotify.com/track/1ydzL5SIoSRCpEIYWhsWE5,False,https://p.scdn.co/mp3-preview/bcc715454ca89613b3fb8b01e5df81a7e54b84f1?cid=78e434819ce74de2a9da9bd344483f65,12,0.594,0.261,11,-8.342,1,0.0348,0.9,0.0,0.0798,0.509,159.903,audio_features,1ydzL5SIoSRCpEIYWhsWE5,spotify:track:1ydzL5SIoSRCpEIYWhsWE5,https://api.spotify.com/v1/tracks/1ydzL5SIoSRCpEIYWhsWE5,https://api.spotify.com/v1/audio-analysis/1ydzL5SIoSRCpEIYWhsWE5,257853,4
Matt Nathanson,German Cars,319NY8ddHWxtHWaYzbPdjT,German Cars,4yPEdX4KdqujBwQWlzhBMu,45,2022-06-21,201453,False,https://open.spotify.com/track/4yPEdX4KdqujBwQWlzhBMu,False,https://p.scdn.co/mp3-preview/24483fe4e1c868559514ac53d373782021f09fa6?cid=78e434819ce74de2a9da9bd344483f65,1,0.52,0.4,6,-9.792,1,0.0315,0.433,0.0,0.106,0.428,151.975,audio_features,4yPEdX4KdqujBwQWlzhBMu,spotify:track:4yPEdX4KdqujBwQWlzhBMu,https://api.spotify.com/v1/tracks/4yPEdX4KdqujBwQWlzhBMu,https://api.spotify.com/v1/audio-analysis/4yPEdX4KdqujBwQWlzhBMu,201453,4
Ben Rector,The Joy of Music,1l4VD485oDSJM23eWJEWJN,It Would Be You,031tI90Tz4hlhPmvi3djr0,43,2022-03-11,219066,False,https://open.spotify.com/track/031tI90Tz4hlhPmvi3djr0,False,https://p.scdn.co/mp3-preview/6d5c662c8ccaadb9c5a29a38521fb1b5cd1749e5?cid=78e434819ce74de2a9da9bd344483f65,11,0.655,0.587,1,-8.736,1,0.045,0.26,6.07e-06,0.0953,0.521,91.494,audio_features,031tI90Tz4hlhPmvi3djr0,spotify:track:031tI90Tz4hlhPmvi3djr0,https://api.spotify.com/v1/tracks/031tI90Tz4hlhPmvi3djr0,https://api.spotify.com/v1/audio-analysis/031tI90Tz4hlhPmvi3djr0,219067,4
Drew Holcomb & The Neighbors,Dance with Everybody,3mVV3jcal3oh3hiMmvrxgZ,Dance with Everybody,7qNIz2zkEnSjnDPuo10HEr,43,2022-08-26,210666,False,https://open.spotify.com/track/7qNIz2zkEnSjnDPuo10HEr,False,https://p.scdn.co/mp3-preview/3cc3da9973da9bcf247bdc3d849beffda8a6f9c9?cid=78e434819ce74de2a9da9bd344483f65,1,0.678,0.889,5,-5.172,1,0.0577,0.252,7.07e-05,0.211,0.883,125.983,audio_features,7qNIz2zkEnSjnDPuo10HEr,spotify:track:7qNIz2zkEnSjnDPuo10HEr,https://api.spotify.com/v1/tracks/7qNIz2zkEnSjnDPuo10HEr,https://api.spotify.com/v1/audio-analysis/7qNIz2zkEnSjnDPuo10HEr,210667,4
Ben Rector,The Joy of Music,1l4VD485oDSJM23eWJEWJN,Dream On,1xXSof69SqdGxJAdAIukRQ,42,2022-03-11,163920,False,https://open.spotify.com/track/1xXSof69SqdGxJAdAIukRQ,False,https://p.scdn.co/mp3-preview/ef4520f2d832f01e88f64f563872cd7e660a42bb?cid=78e434819ce74de2a9da9bd344483f65,1,0.443,0.244,3,-9.541,1,0.0364,0.919,0.0,0.0836,0.373,79.142,audio_features,1xXSof69SqdGxJAdAIukRQ,spotify:track:1xXSof69SqdGxJAdAIukRQ,https://api.spotify.com/v1/tracks/1xXSof69SqdGxJAdAIukRQ,https://api.spotify.com/v1/audio-analysis/1xXSof69SqdGxJAdAIukRQ,163920,3
Andrew Ripp,For the Love of God,0PXAm9ob71rL4Cyi4gQTq2,For the Love of God,5OrJhxKDfqRsikTH1SaWp7,41,2022-09-23,228134,False,https://open.spotify.com/track/5OrJhxKDfqRsikTH1SaWp7,False,https://p.scdn.co/mp3-preview/34842c48fb8be4ffc53e17c41e3c0f838dae9754?cid=78e434819ce74de2a9da9bd344483f65,1,0.578,0.556,11,-7.748,1,0.0347,0.694,0.0,0.0958,0.417,147.907,audio_features,5OrJhxKDfqRsikTH1SaWp7,spotify:track:5OrJhxKDfqRsikTH1SaWp7,https://api.spotify.com/v1/tracks/5OrJhxKDfqRsikTH1SaWp7,https://api.spotify.com/v1/audio-analysis/5OrJhxKDfqRsikTH1SaWp7,228135,4
Michael Warren,What's Country to You,268bBPpIuTh35T5Wr1OJQC,What's Country to You,269kPmzjzBsqgVL87VYEUD,41,2022-10-21,175140,False,https://open.spotify.com/track/269kPmzjzBsqgVL87VYEUD,False,https://p.scdn.co/mp3-preview/067fe9e0dba1af2ded050aff3f26c40d4b43f04e?cid=78e434819ce74de2a9da9bd344483f65,1,0.525,0.865,10,-5.625,1,0.071,0.00912,0.0,0.126,0.794,156.087,audio_features,269kPmzjzBsqgVL87VYEUD,spotify:track:269kPmzjzBsqgVL87VYEUD,https://api.spotify.com/v1/tracks/269kPmzjzBsqgVL87VYEUD,https://api.spotify.com/v1/audio-analysis/269kPmzjzBsqgVL87VYEUD,175141,4
Ben Rector,The Joy of Music,1l4VD485oDSJM23eWJEWJN,Thank You,6r4jouSQy2Hl77pwMwChcM,41,2022-03-11,239200,False,https://open.spotify.com/track/6r4jouSQy2Hl77pwMwChcM,False,https://p.scdn.co/mp3-preview/db1a8d68b2e3abe6e680d1d0ace43b9b9b28c19b?cid=78e434819ce74de2a9da9bd344483f65,7,0.621,0.676,9,-6.982,1,0.0581,0.43,0.0,0.272,0.531,91.06,audio_features,6r4jouSQy2Hl77pwMwChcM,spotify:track:6r4jouSQy2Hl77pwMwChcM,https://api.spotify.com/v1/tracks/6r4jouSQy2Hl77pwMwChcM,https://api.spotify.com/v1/audio-analysis/6r4jouSQy2Hl77pwMwChcM,239200,4
Rosie Thomas,Always Be My Baby,5pjrFrxKA33xQWnj0UbfYp,Always Be My Baby,2hVaNGGvdvvzRPCK9BUZmA,48,2022-03-08,254306,False,https://open.spotify.com/track/2hVaNGGvdvvzRPCK9BUZmA,False,https://p.scdn.co/mp3-preview/abd79f90b64178463c9c7cd2af9e5fc9b0368cb9?cid=78e434819ce74de2a9da9bd344483f65,1,0.516,0.311,1,-13.521,1,0.0306,0.936,0.000281,0.107,0.558,129.958,audio_features,2hVaNGGvdvvzRPCK9BUZmA,spotify:track:2hVaNGGvdvvzRPCK9BUZmA,https://api.spotify.com/v1/tracks/2hVaNGGvdvvzRPCK9BUZmA,https://api.spotify.com/v1/audio-analysis/2hVaNGGvdvvzRPCK9BUZmA,254307,4
Alan Shoesmith,Guided By A Somber Moon,4Gp2lNh0euC91is8VKIcav,Guided By A Somber Moon,2pJECtEnAdcsJs1E1ouUW5,44,2022-10-21,134000,False,https://open.spotify.com/track/2pJECtEnAdcsJs1E1ouUW5,False,https://p.scdn.co/mp3-preview/6cc192aae94adcca43880f81965b0dd60408e4ac?cid=78e434819ce74de2a9da9bd344483f65,1,0.538,0.124,9,-20.033,1,0.0709,0.994,0.891,0.107,0.207,113.268,audio_features,2pJECtEnAdcsJs1E1ouUW5,spotify:track:2pJECtEnAdcsJs1E1ouUW5,https://api.spotify.com/v1/tracks/2pJECtEnAdcsJs1E1ouUW5,https://api.spotify.com/v1/audio-analysis/2pJECtEnAdcsJs1E1ouUW5,134000,3
