,artist_name,album_name,album_id,track_name,track_id,popularity,release_date,duration_ms,explicit,external_urls,is_local,preview_url,track_number,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
20,Penny and Sparrow,Tenboom,2cVOSmXfC0wZBoj7TmpZl7,Duet (feat. Stephanie Briggs),5Jac5r26r1HkpH9Xv5zt7A,44,2013-01-08,221786,False,https://open.spotify.com/track/5Jac5r26r1HkpH9Xv5zt7A,False,https://p.scdn.co/mp3-preview/ef6c7439aa2ef51673e401e411ad9881370f1f7f?cid=78e434819ce74de2a9da9bd344483f65,4,acoustic,0.213,0.185,4,-10.929,0,0.0327,0.757,8.54e-05,0.111,0.182,72.844,audio_features,5Jac5r26r1HkpH9Xv5zt7A,spotify:track:5Jac5r26r1HkpH9Xv5zt7A,https://api.spotify.com/v1/tracks/5Jac5r26r1HkpH9Xv5zt7A,https://api.spotify.com/v1/audio-analysis/5Jac5r26r1HkpH9Xv5zt7A,221787,5
21,Front Porch Step,Aware,3z55Kfwyk2NIUHhcMGZ7Yb,Island of the Misfit Boy,1VhtFh5ga68lxKIEPGcgKs,41,2013-11-12,180545,False,https://open.spotify.com/track/1VhtFh5ga68lxKIEPGcgKs,False,https://p.scdn.co/mp3-preview/53941cd7fc9dc599c60ba57b68e3bfdbdf1d9e39?cid=78e434819ce74de2a9da9bd344483f65,10,acoustic,0.612,0.707,8,-2.147,0,0.0341,0.105,0.0,0.0982,0.867,82.44,audio_features,1VhtFh5ga68lxKIEPGcgKs,spotify:track:1VhtFh5ga68lxKIEPGcgKs,https://api.spotify.com/v1/tracks/1VhtFh5ga68lxKIEPGcgKs,https://api.spotify.com/v1/audio-analysis/1VhtFh5ga68lxKIEPGcgKs,180545,4
22,Sara Bareilles,Brave Enough: Live at the Variety Playhouse,7L4ZgnQqEhCEsV9GnMeXtE,"Goodbye Yellow Brick Road - Live at the Variety Playhouse, Atlanta, GA - May 2013",5Qt6ireK9HgLNTQHQswq6H,44,2013-10-22,314666,False,https://open.spotify.com/track/5Qt6ireK9HgLNTQHQswq6H,False,https://p.scdn.co/mp3-preview/434f797d6600c9b734a284c07b3f9d4c1360255a?cid=78e434819ce74de2a9da9bd344483f65,13,acoustic,0.42,0.114,7,-11.69,0,0.0392,0.959,0.000122,0.781,0.168,113.221,audio_features,5Qt6ireK9HgLNTQHQswq6H,spotify:track:5Qt6ireK9HgLNTQHQswq6H,https://api.spotify.com/v1/tracks/5Qt6ireK9HgLNTQHQswq6H,https://api.spotify.com/v1/audio-analysis/5Qt6ireK9HgLNTQHQswq6H,314667,4
23,Penny and Sparrow,Tenboom,2cVOSmXfC0wZBoj7TmpZl7,Brothers,3i9tuE2ltSIY3tmKhcoJB5,41,2013-01-08,226533,False,https://open.spotify.com/track/3i9tuE2ltSIY3tmKhcoJB5,False,https://p.scdn.co/mp3-preview/53a6f84a73e442d26db2bbe13690c0010687e26c?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.668,0.467,5,-10.914,1,0.0238,0.447,0.00758,0.124,0.259,91.961,audio_features,3i9tuE2ltSIY3tmKhcoJB5,spotify:track:3i9tuE2ltSIY3tmKhcoJB5,https://api.spotify.com/v1/tracks/3i9tuE2ltSIY3tmKhcoJB5,https://api.spotify.com/v1/audio-analysis/3i9tuE2ltSIY3tmKhcoJB5,226533,4
24,Days N Daze,Rogue Taxidermy,330b5MZdlUJcPOkei9G4KM,Fuck It!,0uksfzTx3cu73ithU3SA2Y,41,2013-08-23,186044,True,https://open.spotify.com/track/0uksfzTx3cu73ithU3SA2Y,False,https://p.scdn.co/mp3-preview/48dca9253df4916bb1236982d71e54763fd015c3?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.513,0.428,9,-12.159,1,0.0642,0.561,0.0013,0.462,0.652,114.948,audio_features,0uksfzTx3cu73ithU3SA2Y,spotify:track:0uksfzTx3cu73ithU3SA2Y,https://api.spotify.com/v1/tracks/0uksfzTx3cu73ithU3SA2Y,https://api.spotify.com/v1/audio-analysis/0uksfzTx3cu73ithU3SA2Y,186044,4
25,Amos Lee,"Mountains Of Sorrow, Rivers Of Song (Deluxe)",7mmqWjgDqup34v4bVcTHTx,Chill In The Air,2fPjvOwIjwKapZz6FEl7N6,42,2013-01-01,267865,False,https://open.spotify.com/track/2fPjvOwIjwKapZz6FEl7N6,False,https://p.scdn.co/mp3-preview/65b0a0bf13f6d36aeee37015b4145856f74e9169?cid=78e434819ce74de2a9da9bd344483f65,4,acoustic,0.657,0.441,6,-10.336,1,0.0352,0.185,2.38e-05,0.102,0.278,134.002,audio_features,2fPjvOwIjwKapZz6FEl7N6,spotify:track:2fPjvOwIjwKapZz6FEl7N6,https://api.spotify.com/v1/tracks/2fPjvOwIjwKapZz6FEl7N6,https://api.spotify.com/v1/audio-analysis/2fPjvOwIjwKapZz6FEl7N6,267866,4
26,Sara Bareilles,The Blessed Unrest,7lpbyGc4fHsQkBTsfWVBhp,Manhattan,0aSgzAUObtmSSwh1yO6shv,42,2013-07-16,278546,False,https://open.spotify.com/track/0aSgzAUObtmSSwh1yO6shv,False,https://p.scdn.co/mp3-preview/90f0dd0814fe8421e404888516fa8f6575547621?cid=78e434819ce74de2a9da9bd344483f65,4,acoustic,0.415,0.168,9,-12.223,1,0.0404,0.972,0.000585,0.113,0.235,90.321,audio_features,0aSgzAUObtmSSwh1yO6shv,spotify:track:0aSgzAUObtmSSwh1yO6shv,https://api.spotify.com/v1/tracks/0aSgzAUObtmSSwh1yO6shv,https://api.spotify.com/v1/audio-analysis/0aSgzAUObtmSSwh1yO6shv,278547,3
27,Frank Turner,Tape Deck Heart (Deluxe Edition),6CEOMDFTAWceOUHBux3YS2,Recovery,7edGUOJ1JzA9pmCYP4uchP,39,2013-01-01,208053,False,https://open.spotify.com/track/7edGUOJ1JzA9pmCYP4uchP,False,https://p.scdn.co/mp3-preview/7d235279bed2e368f0043c569ce9b041fc5bd176?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.532,0.887,9,-2.435,1,0.0518,0.0614,0.0,0.0909,0.817,155.893,audio_features,7edGUOJ1JzA9pmCYP4uchP,spotify:track:7edGUOJ1JzA9pmCYP4uchP,https://api.spotify.com/v1/tracks/7edGUOJ1JzA9pmCYP4uchP,https://api.spotify.com/v1/audio-analysis/7edGUOJ1JzA9pmCYP4uchP,208053,4
28,Sara Bareilles,The Blessed Unrest,7lpbyGc4fHsQkBTsfWVBhp,1000 Times,5sulMp8BnWKlR9PqEH5G9M,43,2013-07-16,270013,False,https://open.spotify.com/track/5sulMp8BnWKlR9PqEH5G9M,False,https://p.scdn.co/mp3-preview/60169782b0c4c036969369d2414b3ff60dabeecd?cid=78e434819ce74de2a9da9bd344483f65,8,acoustic,0.542,0.435,2,-5.531,1,0.0463,0.101,9.3e-05,0.0852,0.207,135.219,audio_features,5sulMp8BnWKlR9PqEH5G9M,spotify:track:5sulMp8BnWKlR9PqEH5G9M,https://api.spotify.com/v1/tracks/5sulMp8BnWKlR9PqEH5G9M,https://api.spotify.com/v1/audio-analysis/5sulMp8BnWKlR9PqEH5G9M,270013,4
29,Ben Rector,The Walking in Between,0kuIIUFaebmwLCmhp6nwVu,When I'm With You,4YeUVRpVxaDx6zu6CtB01j,39,2013-08-20,226133,False,https://open.spotify.com/track/4YeUVRpVxaDx6zu6CtB01j,False,https://p.scdn.co/mp3-preview/2b82152acdcfe4553b2a724b0af329834024f274?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.434,0.805,2,-6.211,1,0.0315,0.00117,3.17e-06,0.176,0.32,158.139,audio_features,4YeUVRpVxaDx6zu6CtB01j,spotify:track:4YeUVRpVxaDx6zu6CtB01j,https://api.spotify.com/v1/tracks/4YeUVRpVxaDx6zu6CtB01j,https://api.spotify.com/v1/audio-analysis/4YeUVRpVxaDx6zu6CtB01j,226133,3
