,artist_name,album_name,album_id,track_name,track_id,popularity,release_date,duration_ms,explicit,external_urls,is_local,preview_url,track_number,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
20,Penny and Sparrow,Struggle Pretty,1xmeNQbhSB4F10c68KRHzR,Thunder,1UxDMCWWSdug0kHsRVorCZ,40,2014-04-22,182106,False,https://open.spotify.com/track/1UxDMCWWSdug0kHsRVorCZ,False,https://p.scdn.co/mp3-preview/75ab02538b9d40cb13cc31b7aa957610a7631990?cid=78e434819ce74de2a9da9bd344483f65,10,acoustic,0.5,0.617,3,-8.115,1,0.0293,0.185,0.0125,0.0794,0.68,91.969,audio_features,1UxDMCWWSdug0kHsRVorCZ,spotify:track:1UxDMCWWSdug0kHsRVorCZ,https://api.spotify.com/v1/tracks/1UxDMCWWSdug0kHsRVorCZ,https://api.spotify.com/v1/audio-analysis/1UxDMCWWSdug0kHsRVorCZ,182107,4
21,NEEDTOBREATHE,Rivers in the Wasteland,52e12cyeu7IY7JGSoUArHw,The Heart,2gNRPDHT9jw2fIKLRpLgT9,42,2014-04-17,224653,False,https://open.spotify.com/track/2gNRPDHT9jw2fIKLRpLgT9,False,https://p.scdn.co/mp3-preview/b208df62fedb437c98627b436dfd43c6d0aee8ea?cid=78e434819ce74de2a9da9bd344483f65,7,acoustic,0.555,0.86,0,-4.724,1,0.0243,0.0199,0.011,0.327,0.613,104.015,audio_features,2gNRPDHT9jw2fIKLRpLgT9,spotify:track:2gNRPDHT9jw2fIKLRpLgT9,https://api.spotify.com/v1/tracks/2gNRPDHT9jw2fIKLRpLgT9,https://api.spotify.com/v1/audio-analysis/2gNRPDHT9jw2fIKLRpLgT9,224653,4
22,Priscilla Ahn,When Marnie Was There Song Album - Just Know That I Love You.,5xCqg7ej0eaCdjJoDrWUrO,Fine On The Outside,0muntSMuAZzcwYBBMZj6sf,49,2014-07-16,252466,False,https://open.spotify.com/track/0muntSMuAZzcwYBBMZj6sf,False,https://p.scdn.co/mp3-preview/d8ebaa79a57ed1437199bf3e92f8440057bf2d4f?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.495,0.185,9,-13.824,1,0.0288,0.692,0.00403,0.109,0.196,101.89,audio_features,0muntSMuAZzcwYBBMZj6sf,spotify:track:0muntSMuAZzcwYBBMZj6sf,https://api.spotify.com/v1/tracks/0muntSMuAZzcwYBBMZj6sf,https://api.spotify.com/v1/audio-analysis/0muntSMuAZzcwYBBMZj6sf,252467,4
23,Zee Avi,Zee Avi's Nightlight,2R8cMVzWRFq0Rsc2WZi97U,Dream a Little Dream of Me,6xAjAocTRpKamQlCy50RRQ,47,2014-04-22,111842,False,https://open.spotify.com/track/6xAjAocTRpKamQlCy50RRQ,False,https://p.scdn.co/mp3-preview/f485c608823561576c1d849318e2a147ba21deee?cid=78e434819ce74de2a9da9bd344483f65,8,acoustic,0.555,0.0879,0,-12.141,1,0.0477,0.968,0.0,0.096,0.428,84.174,audio_features,6xAjAocTRpKamQlCy50RRQ,spotify:track:6xAjAocTRpKamQlCy50RRQ,https://api.spotify.com/v1/tracks/6xAjAocTRpKamQlCy50RRQ,https://api.spotify.com/v1/audio-analysis/6xAjAocTRpKamQlCy50RRQ,111843,4
24,Just Nick,Semi-revolutionary,1j2aF6bAGN52rruksZsRCs,I Hate Everything,2qlBAesF7glyZnNqzaiHOT,38,2014,115591,True,https://open.spotify.com/track/2qlBAesF7glyZnNqzaiHOT,False,https://p.scdn.co/mp3-preview/3901c557f6a0cb9f8c554faa2ddbbb6199354888?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.69,0.392,9,-6.957,1,0.0444,0.259,0.0,0.12,0.679,123.377,audio_features,2qlBAesF7glyZnNqzaiHOT,spotify:track:2qlBAesF7glyZnNqzaiHOT,https://api.spotify.com/v1/tracks/2qlBAesF7glyZnNqzaiHOT,https://api.spotify.com/v1/audio-analysis/2qlBAesF7glyZnNqzaiHOT,115592,4
25,AJJ,Christmas Island,6U05Hnv3V8sm93lErI9rNA,"Getting Naked, Playing with Guns",4IFOq3YGJPuQmUMgxjeA9Q,39,2014-05-06,198897,False,https://open.spotify.com/track/4IFOq3YGJPuQmUMgxjeA9Q,False,https://p.scdn.co/mp3-preview/2b0af8099309b26931dbd6d92286f70c75d09002?cid=78e434819ce74de2a9da9bd344483f65,5,acoustic,0.686,0.395,0,-9.823,1,0.033,0.438,4.25e-05,0.187,0.442,103.348,audio_features,4IFOq3YGJPuQmUMgxjeA9Q,spotify:track:4IFOq3YGJPuQmUMgxjeA9Q,https://api.spotify.com/v1/tracks/4IFOq3YGJPuQmUMgxjeA9Q,https://api.spotify.com/v1/audio-analysis/4IFOq3YGJPuQmUMgxjeA9Q,198897,3
26,Johnnyswim,Diamonds,2y2pzedHjln9MbTHCq99qP,Home,2BX2njwutbKutDcLVFiqUU,39,2014-04-29,211106,False,https://open.spotify.com/track/2BX2njwutbKutDcLVFiqUU,False,https://p.scdn.co/mp3-preview/04fec5a86610c8391521db327f82f0b6e098f3cd?cid=78e434819ce74de2a9da9bd344483f65,10,acoustic,0.647,0.627,0,-7.08,1,0.0756,0.235,0.0,0.144,0.517,110.121,audio_features,2BX2njwutbKutDcLVFiqUU,spotify:track:2BX2njwutbKutDcLVFiqUU,https://api.spotify.com/v1/tracks/2BX2njwutbKutDcLVFiqUU,https://api.spotify.com/v1/audio-analysis/2BX2njwutbKutDcLVFiqUU,211107,4
27,NEEDTOBREATHE,Rivers in the Wasteland,52e12cyeu7IY7JGSoUArHw,Brother,76jtkq7829eEgEkoQrcjov,39,2014-04-17,289226,False,https://open.spotify.com/track/76jtkq7829eEgEkoQrcjov,False,https://p.scdn.co/mp3-preview/67a70fbb5cabaa9b676630eec1ef53fa935aed92?cid=78e434819ce74de2a9da9bd344483f65,10,acoustic,0.528,0.929,4,-4.669,1,0.0652,0.141,0.0,0.105,0.593,77.993,audio_features,76jtkq7829eEgEkoQrcjov,spotify:track:76jtkq7829eEgEkoQrcjov,https://api.spotify.com/v1/tracks/76jtkq7829eEgEkoQrcjov,https://api.spotify.com/v1/audio-analysis/76jtkq7829eEgEkoQrcjov,289227,4
28,Steve Petrunak,Shake It Off: Instrumental Guitar Covers of Pop Hits,46yyoDRZVjMLKuqqYIQKRI,Chandelier,5EqMeJJNjUDHIoMyXMgKqk,39,2014-12-17,213101,False,https://open.spotify.com/track/5EqMeJJNjUDHIoMyXMgKqk,False,https://p.scdn.co/mp3-preview/17c461b4cc5f772e8e0915e823140bfe19f89414?cid=78e434819ce74de2a9da9bd344483f65,3,acoustic,0.364,0.381,1,-9.123,1,0.0526,0.961,0.917,0.107,0.379,80.786,audio_features,5EqMeJJNjUDHIoMyXMgKqk,spotify:track:5EqMeJJNjUDHIoMyXMgKqk,https://api.spotify.com/v1/tracks/5EqMeJJNjUDHIoMyXMgKqk,https://api.spotify.com/v1/audio-analysis/5EqMeJJNjUDHIoMyXMgKqk,213101,4
29,Matt Pless,Folk-O-Rama: Volume Three,2hLJZaLWq5w0JhIFx97aVO,Ashtray,22yTd5qFWOPx80Yf3qXYW3,37,2014,170541,True,https://open.spotify.com/track/22yTd5qFWOPx80Yf3qXYW3,False,https://p.scdn.co/mp3-preview/8e4a6fc50ba5aea8a001d8d3abf2bd6f7d8fa75c?cid=78e434819ce74de2a9da9bd344483f65,19,acoustic,0.603,0.647,6,-6.544,1,0.0402,0.504,0.0,0.15,0.869,126.806,audio_features,22yTd5qFWOPx80Yf3qXYW3,spotify:track:22yTd5qFWOPx80Yf3qXYW3,https://api.spotify.com/v1/tracks/22yTd5qFWOPx80Yf3qXYW3,https://api.spotify.com/v1/audio-analysis/22yTd5qFWOPx80Yf3qXYW3,170542,4
