,artist_name,album_name,album_id,track_name,track_id,popularity,release_date,duration_ms,explicit,external_urls,is_local,preview_url,track_number,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
20,Tyrone Wells,Metal & Wood,6FXR4DEIYONPfvnTAW1XJV,Time of Our Lives,4Kdlc1IE7zMnX3R3m16PSc,47,2010-03-02,248866,False,https://open.spotify.com/track/4Kdlc1IE7zMnX3R3m16PSc,False,https://p.scdn.co/mp3-preview/53ee1d2ffd570abb8b388faad6838b9efbfcd894?cid=78e434819ce74de2a9da9bd344483f65,8,acoustic,0.33,0.415,9,-6.889,1,0.028,0.692,0.0,0.106,0.258,159.41,audio_features,4Kdlc1IE7zMnX3R3m16PSc,spotify:track:4Kdlc1IE7zMnX3R3m16PSc,https://api.spotify.com/v1/tracks/4Kdlc1IE7zMnX3R3m16PSc,https://api.spotify.com/v1/audio-analysis/4Kdlc1IE7zMnX3R3m16PSc,248867,4
21,Ichiko Aoba,Kamisori Otome,2GatVW3cnHi3riWYrr6rQh,fuwarin,3B7wgtlmTXGfAiMRnq1NmS,43,2010-01-20,210786,False,https://open.spotify.com/track/3B7wgtlmTXGfAiMRnq1NmS,False,https://p.scdn.co/mp3-preview/bfb92027d9b66965ca057447e9d782d684ab1728?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.291,0.147,0,-15.546,0,0.0407,0.989,0.0852,0.11,0.0874,176.188,audio_features,3B7wgtlmTXGfAiMRnq1NmS,spotify:track:3B7wgtlmTXGfAiMRnq1NmS,https://api.spotify.com/v1/tracks/3B7wgtlmTXGfAiMRnq1NmS,https://api.spotify.com/v1/audio-analysis/3B7wgtlmTXGfAiMRnq1NmS,210787,4
22,Tyrone Wells,Metal & Wood,6FXR4DEIYONPfvnTAW1XJV,And the Birds Sing,27IQtqCIy1KfK9TQGlG4jp,49,2010-03-02,222213,False,https://open.spotify.com/track/27IQtqCIy1KfK9TQGlG4jp,False,https://p.scdn.co/mp3-preview/ec0d18c6acb7848993e13e78be475b5256b20ac5?cid=78e434819ce74de2a9da9bd344483f65,3,acoustic,0.75,0.401,2,-10.699,1,0.0324,0.683,5.5e-06,0.096,0.7,84.003,audio_features,27IQtqCIy1KfK9TQGlG4jp,spotify:track:27IQtqCIy1KfK9TQGlG4jp,https://api.spotify.com/v1/tracks/27IQtqCIy1KfK9TQGlG4jp,https://api.spotify.com/v1/audio-analysis/27IQtqCIy1KfK9TQGlG4jp,222213,4
23,JJ Heller,When I'm With You,5dPQJa0DiHfAhe7hyhNGHq,What Love Really Means,5quIK3oXwunG35RI8HSQDi,41,2010-10-19,236200,False,https://open.spotify.com/track/5quIK3oXwunG35RI8HSQDi,False,https://p.scdn.co/mp3-preview/f380cf8beb09a4fd4e53fe8450b661fc931c3af0?cid=78e434819ce74de2a9da9bd344483f65,3,acoustic,0.405,0.428,5,-9.506,1,0.0277,0.0182,1.44e-06,0.14,0.331,145.515,audio_features,5quIK3oXwunG35RI8HSQDi,spotify:track:5quIK3oXwunG35RI8HSQDi,https://api.spotify.com/v1/tracks/5quIK3oXwunG35RI8HSQDi,https://api.spotify.com/v1/audio-analysis/5quIK3oXwunG35RI8HSQDi,236200,3
24,The Weepies,Be My Thrill,2gnifaY7SP8mHGLawS9gSf,I Was Made For Sunny Days,7EdNvIZ2WCBfBDanjOSXXB,40,2010-08-31,193506,False,https://open.spotify.com/track/7EdNvIZ2WCBfBDanjOSXXB,False,https://p.scdn.co/mp3-preview/3e5e121db76b2e2191f4ece0095b373afed16c2a?cid=78e434819ce74de2a9da9bd344483f65,4,acoustic,0.54,0.626,8,-7.385,1,0.0256,0.32,2.26e-05,0.162,0.632,104.03,audio_features,7EdNvIZ2WCBfBDanjOSXXB,spotify:track:7EdNvIZ2WCBfBDanjOSXXB,https://api.spotify.com/v1/tracks/7EdNvIZ2WCBfBDanjOSXXB,https://api.spotify.com/v1/audio-analysis/7EdNvIZ2WCBfBDanjOSXXB,193507,4
25,Sara Bareilles,Kaleidoscope Heart,627ukPRwYxyBREHxBq0vGJ,Kaleidoscope Heart,0uwm2EOditziKCWSRRLN0A,39,2010-09-07,61946,False,https://open.spotify.com/track/0uwm2EOditziKCWSRRLN0A,False,https://p.scdn.co/mp3-preview/37e51f213759a82822191dfc89084801e101ea53?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.455,0.0516,1,-11.853,1,0.0927,0.806,0.0,0.0817,0.235,115.193,audio_features,0uwm2EOditziKCWSRRLN0A,spotify:track:0uwm2EOditziKCWSRRLN0A,https://api.spotify.com/v1/tracks/0uwm2EOditziKCWSRRLN0A,https://api.spotify.com/v1/audio-analysis/0uwm2EOditziKCWSRRLN0A,61672,4
26,Ben Rector,Into the Morning,0s5Z4iXYB1MI6ujRrjXAC6,White Dress,5MvOzCgMwWcMVSKq4gix31,37,2010-02-16,234093,False,https://open.spotify.com/track/5MvOzCgMwWcMVSKq4gix31,False,https://p.scdn.co/mp3-preview/e2116161165bf05d00296fa55b29eb0a52a9584e?cid=78e434819ce74de2a9da9bd344483f65,4,acoustic,0.644,0.637,11,-6.316,1,0.0295,0.0146,1.13e-05,0.0964,0.377,135.015,audio_features,5MvOzCgMwWcMVSKq4gix31,spotify:track:5MvOzCgMwWcMVSKq4gix31,https://api.spotify.com/v1/tracks/5MvOzCgMwWcMVSKq4gix31,https://api.spotify.com/v1/audio-analysis/5MvOzCgMwWcMVSKq4gix31,234093,4
27,Andrew Belle,The Ladder,0oiW40jJHbCnTHIfG1yTaL,Static Waves,3ICxCafLo6xcASR4yij84K,41,2010-02-23,220612,False,https://open.spotify.com/track/3ICxCafLo6xcASR4yij84K,False,https://p.scdn.co/mp3-preview/def7c524bdb01c091ccef31bf41feb0556363ceb?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.62,0.534,5,-8.865,1,0.0266,0.0634,0.0,0.093,0.337,144.059,audio_features,3ICxCafLo6xcASR4yij84K,spotify:track:3ICxCafLo6xcASR4yij84K,https://api.spotify.com/v1/tracks/3ICxCafLo6xcASR4yij84K,https://api.spotify.com/v1/audio-analysis/3ICxCafLo6xcASR4yij84K,220613,4
28,Ben Rector,Into the Morning,0s5Z4iXYB1MI6ujRrjXAC6,Loving You Is Easy,1mIUrbwUamEf0srlUUspQQ,36,2010-02-16,192320,False,https://open.spotify.com/track/1mIUrbwUamEf0srlUUspQQ,False,https://p.scdn.co/mp3-preview/af053dbde7536e53ee142fd176e98b27650df5c7?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.589,0.705,8,-6.342,1,0.0464,0.005,0.0,0.0933,0.894,170.143,audio_features,1mIUrbwUamEf0srlUUspQQ,spotify:track:1mIUrbwUamEf0srlUUspQQ,https://api.spotify.com/v1/tracks/1mIUrbwUamEf0srlUUspQQ,https://api.spotify.com/v1/audio-analysis/1mIUrbwUamEf0srlUUspQQ,192320,4
29,Sara Bareilles,Kaleidoscope EP,5LWxBc1nda26oJOccMZuWf,Send Me The Moon,2xNCvvLwHconIojhe57JEv,39,2010-09-07,297746,False,https://open.spotify.com/track/2xNCvvLwHconIojhe57JEv,False,https://p.scdn.co/mp3-preview/0d4ecfce5dd7fc748da00217422b911e89c79465?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.421,0.393,10,-9.938,1,0.0447,0.541,2.9e-06,0.0938,0.232,161.542,audio_features,2xNCvvLwHconIojhe57JEv,spotify:track:2xNCvvLwHconIojhe57JEv,https://api.spotify.com/v1/tracks/2xNCvvLwHconIojhe57JEv,https://api.spotify.com/v1/audio-analysis/2xNCvvLwHconIojhe57JEv,297747,3
